Boss,Game,Relation,Species
Lakitu,Super Mario Maker / Super Mario Maker for Nintendo 3DS / Super Mario Maker 2,BOSS_IN,
Lakitu,Mario Party: Island Tour,BOSS_IN,
Lakitu,Super Mario Run,BOSS_IN,
Lakitu,Mario Party 10,BOSS_IN,
Lakitu,Super Mario Odyssey,BOSS_IN,
Lakitu,Mario Party: Star Rush,BOSS_IN,
Lakitu,Super Mario Bros. Wonder,BOSS_IN,
Lakitu,Mario Party: The Top 100,BOSS_IN,
Lakitu,Super Mario Party,BOSS_IN,
Lakitu,Mario Party Superstars,BOSS_IN,
Lakitu,Super Mario Party Jamboree,BOSS_IN,
Ludwig,Super Mario Bros. 3,BOSS_IN,Koopa
Ludwig,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,Koopa
Ludwig,Mario & Luigi: Superstar Saga,BOSS_IN,Koopa
Ludwig,Super Smash Bros. Brawl,BOSS_IN,Koopa
Ludwig,Super Mario World,BOSS_IN,Koopa
Ludwig,Mario Kart Tour,BOSS_IN,Koopa
Ludwig,Mario & Luigi: Paper Jam,BOSS_IN,Koopa
Ludwig,Super Smash Bros. for Nintendo 3DS / Wii U,BOSS_IN,Koopa
Ludwig,New Super Mario Bros. Wii,BOSS_IN,Koopa
Ludwig,Mario Kart Live: Home Circuit,BOSS_IN,Koopa
Ludwig,Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN,Koopa
Ludwig,Super Smash Bros. Ultimate,BOSS_IN,Koopa
Ludwig,New Super Mario Bros. 2,BOSS_IN,Koopa
Ludwig,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,Koopa
Ludwig,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,Koopa
Ludwig,Super Mario Maker 2,BOSS_IN,Koopa
Magikoopa,Super Mario World,BOSS_IN,
Magikoopa,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN,
Magikoopa,Paper Mario,BOSS_IN,
Magikoopa,Super Mario World 2: Yoshi's Island,BOSS_IN,
Magikoopa,Mario & Luigi: Partners in Time,BOSS_IN,
Magikoopa,Paper Mario: The Thousand-Year Door,BOSS_IN,
Magikoopa,Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN,
Magikoopa,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,
Magikoopa,Super Paper Mario,BOSS_IN,
Magikoopa,Super Mario Galaxy,BOSS_IN,
Magikoopa,Mario & Luigi: Dream Team,BOSS_IN,
Magikoopa,Paper Mario: Sticker Star,BOSS_IN,
Magikoopa,Super Mario Galaxy 2,BOSS_IN,
Magikoopa,Mario & Luigi: Brothership,BOSS_IN,
Magikoopa,Super Mario 3D Land,BOSS_IN,
Magikoopa,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN,
Magikoopa,Super Mario Maker series,BOSS_IN,
Mega Dry Bones,New Super Mario Bros.,BOSS_IN,
Mega Dry Bones,Mario Party: Island Tour,BOSS_IN,
Mega Dry Bones,New Super Mario Bros. Wii,BOSS_IN,
Mega Dry Bones,Mario Party: Star Rush,BOSS_IN,
Mega Dry Bones,New Super Mario Bros. 2,BOSS_IN,
Mega Dry Bones,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,
Mega Dry Bones,Super Mario Maker series,BOSS_IN,
Mechakoopa,Super Mario World,BOSS_IN,
Mechakoopa,Mario Kart: Super Circuit,BOSS_IN,
Mechakoopa,Mario Party 5,BOSS_IN,
Mechakoopa,Mario & Luigi: Superstar Saga,BOSS_IN,
Mechakoopa,Super Mario Galaxy,BOSS_IN,
Mechakoopa,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,
Mechakoopa,Mario Party Advance,BOSS_IN,
Mechakoopa,Mario & Luigi: Dream Team,BOSS_IN,
Mechakoopa,New Super Mario Bros. Wii,BOSS_IN,
Mechakoopa,Mario Party 7,BOSS_IN,
Mechakoopa,Mario & Luigi: Paper Jam,BOSS_IN,
Mechakoopa,Super Mario Galaxy 2,BOSS_IN,
