Game,Relation,Figure,Species,Console,Year,Sales
mario party: island tour,BOSS_IN,cheep cheep,,3DS,2013,1.92
mario kart world,BOSS_IN,cheep cheep,,Switch 2,2025,
mario party 10,BOSS_IN,cheep cheep,,WiiU,2015,1.58
mario party: star rush,BOSS_IN,cheep cheep,,3DS,2016,0.3
super mario party,BOSS_IN,cheep cheep,,Switch,2018,
super mario odyssey,BOSS_IN,cheep cheep,,Switch,2017,
super mario party jamboree,BOSS_IN,cheep cheep,,Switch,2024,
super mario bros. wonder,BOSS_IN,cheep cheep,,Switch,2023,
mario kart 8,BOSS_IN,link,hylian,WiiU,2014,14.18
super smash bros.,BOSS_IN,link,hylian,N64,1999,5.55
super mario maker,BOSS_IN,link,hylian,WiiU,2015,3.21
mario kart 8 deluxe,BOSS_IN,link,hylian,Switch,2017,
super smash bros. melee,BOSS_IN,link,hylian,GC,2001,14.14
super mario maker 2,BOSS_IN,link,hylian,Switch,2019,
super smash bros. brawl,BOSS_IN,link,hylian,Wii,2008,12.84
super smash bros. ultimate,BOSS_IN,link,hylian,Switch,2018,
super mario galaxy,BOSS_IN,dino piranha,,Wii,2007,11.35
super mario galaxy 2,BOSS_IN,dino piranha,,Wii,2010,7.51
super mario maker,BOSS_IN,diddy kong,kong,WiiU,2015,3.21
mario kart: double dash!!,BOSS_IN,diddy kong,kong,GC,2003,13.9
super smash bros. brawl,BOSS_IN,diddy kong,kong,Wii,2008,12.84
mario golf: toadstool tour,BOSS_IN,diddy kong,kong,GC,2003,1.53
mario superstar baseball,BOSS_IN,diddy kong,kong,GC,2005,1.46
super mario odyssey,BOSS_IN,diddy kong,kong,Switch,2017,
mario golf: world tour,BOSS_IN,diddy kong,kong,3DS,2014,0.48
mario tennis open,BOSS_IN,diddy kong,kong,3DS,2012,0.95
mario super sluggers,BOSS_IN,diddy kong,kong,Wii,2008,1.89
mario kart wii,BOSS_IN,diddy kong,kong,Wii,2008,35.52
super smash bros. ultimate,BOSS_IN,diddy kong,kong,Switch,2018,
mario tennis aces,BOSS_IN,diddy kong,kong,Switch,2018,
mario kart tour,BOSS_IN,diddy kong,kong,Mobile,2019,
mario kart 8 deluxe,BOSS_IN,diddy kong,kong,Switch,2017,
super smash bros. brawl,BOSS_IN,don bongo,,Wii,2008,12.84
super smash bros. ultimate,BOSS_IN,don bongo,,Switch,2018,
new super mario bros.,BOSS_IN,dry bowser,skeletal  koopa,DS,2006,29.8
mario kart wii,BOSS_IN,dry bowser,skeletal  koopa,Wii,2008,35.52
mario & luigi: paper jam,BOSS_IN,dry bowser,skeletal  koopa,3DS,2015,0.76
mario tennis open,BOSS_IN,dry bowser,skeletal  koopa,3DS,2012,0.95
super mario 3d land,BOSS_IN,dry bowser,skeletal  koopa,3DS,2011,10.81
mario kart arcade gp dx,BOSS_IN,dry bowser,skeletal  koopa,Arcade,2013,
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,dry bowser,skeletal  koopa,3DS,2018,
mario tennis: ultra smash,BOSS_IN,dry bowser,skeletal  koopa,WiiU,2015,
new super mario bros. 2,BOSS_IN,dry bowser,skeletal  koopa,3DS,2012,9.9
mario tennis aces,BOSS_IN,dry bowser,skeletal  koopa,Switch,2018,
mario kart tour,BOSS_IN,dry bowser,skeletal  koopa,Mobile,2019,
mario kart ds,BOSS_IN,dry bones,,DS,2005,23.21
mario party 7,BOSS_IN,dry bones,,GC,2005,1.57
paper mario,BOSS_IN,dry bones,,N64,2000,1.38
mario kart wii,BOSS_IN,dry bones,,Wii,2008,35.52
mario party 8,BOSS_IN,dry bones,,Wii,2007,8.27
mario & luigi: partners in time,BOSS_IN,dry bones,,DS,2005,1.29
paper mario: the thousand-year door,BOSS_IN,dry bones,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,dry bones,,Switch,2024,2.25
new super mario bros.,BOSS_IN,dry bones,,DS,2006,29.8
mario party ds,BOSS_IN,dry bones,,DS,2007,8.91
super paper mario,BOSS_IN,dry bones,,Wii,2007,3.71
super mario galaxy,BOSS_IN,dry bones,,Wii,2007,11.35
mario kart tour,BOSS_IN,dry bones,,Mobile,2019,
mario party 9,BOSS_IN,dry bones,,Wii,2012,3.13
mario & luigi: dream team,BOSS_IN,dry bones,,3DS,2013,2.08
paper mario: sticker star,BOSS_IN,dry bones,,3DS,2012,2.3
new super mario bros. wii,BOSS_IN,dry bones,,Wii,2009,28.32
mario kart world,BOSS_IN,dry bones,,Switch 2,2025,
mario party: island tour,BOSS_IN,dry bones,,3DS,2013,1.92
mario & luigi: paper jam,BOSS_IN,dry bones,,3DS,2015,0.76
paper mario: color splash,BOSS_IN,dry bones,,WiiU,2016,0.42
super mario galaxy 2,BOSS_IN,dry bones,,Wii,2010,7.51
mario party 10,BOSS_IN,dry bones,,WiiU,2015,1.58
mario & luigi: brothership,BOSS_IN,dry bones,,Switch,2024,
paper mario: the origami king,BOSS_IN,dry bones,,Switch,2020,
super mario 3d land,BOSS_IN,dry bones,,3DS,2011,10.81
mario party: star rush,BOSS_IN,dry bones,,3DS,2016,0.3
new super mario bros. 2,BOSS_IN,dry bones,,3DS,2012,9.9
mario party: the top 100,BOSS_IN,dry bones,,3DS,2017,
super mario party,BOSS_IN,dry bones,,Switch,2018,
mario party superstars,BOSS_IN,dry bones,,Switch,2021,
super mario party jamboree,BOSS_IN,dry bones,,Switch,2024,
super mario run,BOSS_IN,dry bones,,Mobile,2016,
super mario run,BOSS_IN,dry bones,,Mobile,2017,
super mario maker 2,BOSS_IN,dry bones,,Switch,2019,
super mario bros. wonder,BOSS_IN,dry bones,,Switch,2023,
mario & luigi: partners in time,BOSS_IN,fawful,beanish,DS,2005,1.29
super mario bros. 3,BOSS_IN,fire snake,,NES,1988,22.48
super mario bros. 3,BOSS_IN,fire snake,,Game & Watch,1990,22.48
mario kart ds,BOSS_IN,fire snake,,DS,2005,23.21
super mario world,BOSS_IN,fire snake,,SNES,1990,26.07
super mario world,BOSS_IN,fire snake,,Arcade,1993,26.07
mario kart wii,BOSS_IN,fire snake,,Wii,2008,35.52
new super mario bros.,BOSS_IN,fire snake,,DS,2006,29.8
new super mario bros. wii,BOSS_IN,fire snake,,Wii,2009,28.32
mario kart world,BOSS_IN,fire snake,,Switch 2,2025,
new super mario bros. 2,BOSS_IN,fire snake,,3DS,2012,9.9
wrecking crew,BOSS_IN,foreman spike,human,NES,1985,0.51
wrecking crew '98,BOSS_IN,foreman spike,human,SNES,1998,
super smash bros. brawl,BOSS_IN,fracktail,dragon;robot,Wii,2008,12.84
super smash bros. for wii u,BOSS_IN,fracktail,dragon;robot,WiiU,2014,
mario kart: double dash!!,BOSS_IN,freezie,,GC,2003,13.9
mario kart live: home circuit,BOSS_IN,freezie,,Switch,2020,
mario kart world,BOSS_IN,freezie,,Switch 2,2025,
bs super mario usa,BOSS_IN,fryguy,,SNES,1996,
super smash bros. melee,BOSS_IN,giga bowser,,GC,2001,14.14
super smash bros. brawl,BOSS_IN,giga bowser,,Wii,2008,12.84
super smash bros. ultimate,BOSS_IN,giga bowser,,Switch,2018,
paper mario,BOSS_IN,goomboss,goomba,N64,2000,1.38
paper mario: the thousand-year door,BOSS_IN,goomboss,goomba,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,goomboss,goomba,Switch,2024,2.25
super mario 3d land,BOSS_IN,goomba tower,,3DS,2011,10.81
mario party 9,BOSS_IN,goomba tower,,Wii,2012,3.13
mario & luigi: paper jam,BOSS_IN,goomba tower,,3DS,2015,0.76
paper mario: sticker star,BOSS_IN,goomba tower,,3DS,2012,2.3
new super mario bros. 2,BOSS_IN,goomba tower,,3DS,2012,9.9
mario kart tour,BOSS_IN,goomba tower,,Mobile,2019,
mario party: island tour,BOSS_IN,goomba tower,,3DS,2013,1.92
mario & luigi: superstar saga + bowser's minions,BOSS_IN,goomba tower,,3DS,2017,
paper mario: color splash,BOSS_IN,goomba tower,,WiiU,2016,0.42
mario party 10,BOSS_IN,goomba tower,,WiiU,2015,1.58
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,goomba tower,,3DS,2018,
mario party superstars,BOSS_IN,goomba tower,,Switch,2021,
mario & luigi: brothership,BOSS_IN,goomba tower,,Switch,2024,
super mario odyssey,BOSS_IN,goomba tower,,Switch,2017,
super mario party jamboree,BOSS_IN,goomba tower,,Switch,2024,
paper mario: sticker star,BOSS_IN,gooper blooper,blooper;poison blooper,3DS,2012,2.3
mario power tennis,BOSS_IN,gooper blooper,blooper;poison blooper,GC,2004,1.22
paper mario: the origami king,BOSS_IN,gooper blooper,blooper;poison blooper,Switch,2020,
mario tennis aces,BOSS_IN,gooper blooper,blooper;poison blooper,Switch,2018,
mario kart: super circuit,BOSS_IN,hammer bro,,GBA,2001,5.47
mario party,BOSS_IN,hammer bro,,N64,1998,2.7
paper mario,BOSS_IN,hammer bro,,N64,2000,1.38
super mario bros. 3,BOSS_IN,hammer bro,,NES,1988,22.48
super mario bros. 3,BOSS_IN,hammer bro,,Game & Watch,1990,22.48
mario kart wii,BOSS_IN,hammer bro,,Wii,2008,35.52
mario party 2,BOSS_IN,hammer bro,,N64,1999,2.5
mario & luigi: partners in time,BOSS_IN,hammer bro,,DS,2005,1.29
paper mario: the thousand-year door,BOSS_IN,hammer bro,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,hammer bro,,Switch,2024,2.25
super mario world,BOSS_IN,hammer bro,,SNES,1990,26.07
super mario world,BOSS_IN,hammer bro,,Arcade,1993,26.07
mario kart 7,BOSS_IN,hammer bro,,3DS,2011,12.66
mario party 3,BOSS_IN,hammer bro,,N64,2000,1.91
mario & luigi: dream team,BOSS_IN,hammer bro,,3DS,2013,2.08
super paper mario,BOSS_IN,hammer bro,,Wii,2007,3.71
new super mario bros.,BOSS_IN,hammer bro,,DS,2006,29.8
mario party 5,BOSS_IN,hammer bro,,GC,2003,2.08
mario & luigi: paper jam,BOSS_IN,hammer bro,,3DS,2015,0.76
paper mario: sticker star,BOSS_IN,hammer bro,,3DS,2012,2.3
new super mario bros. wii,BOSS_IN,hammer bro,,Wii,2009,28.32
mario kart tour,BOSS_IN,hammer bro,,Mobile,2019,
mario party advance,BOSS_IN,hammer bro,,GBA,2005,0.98
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,hammer bro,,3DS,2018,
paper mario: color splash,BOSS_IN,hammer bro,,WiiU,2016,0.42
super mario galaxy 2,BOSS_IN,hammer bro,,Wii,2010,7.51
mario kart world,BOSS_IN,hammer bro,,Switch 2,2025,
mario party 7,BOSS_IN,hammer bro,,GC,2005,1.57
mario & luigi: brothership,BOSS_IN,hammer bro,,Switch,2024,
paper mario: the origami king,BOSS_IN,hammer bro,,Switch,2020,
super mario 3d land,BOSS_IN,hammer bro,,3DS,2011,10.81
mario party 8,BOSS_IN,hammer bro,,Wii,2007,8.27
new super mario bros. 2,BOSS_IN,hammer bro,,3DS,2012,9.9
mario party ds,BOSS_IN,hammer bro,,DS,2007,8.91
mario party 9,BOSS_IN,hammer bro,,Wii,2012,3.13
mario party: island tour,BOSS_IN,hammer bro,,3DS,2013,1.92
mario party 10,BOSS_IN,hammer bro,,WiiU,2015,1.58
super mario odyssey,BOSS_IN,hammer bro,,Switch,2017,
mario party: star rush,BOSS_IN,hammer bro,,3DS,2016,0.3
super mario bros. wonder,BOSS_IN,hammer bro,,Switch,2023,
mario party: the top 100,BOSS_IN,hammer bro,,3DS,2017,
super mario party,BOSS_IN,hammer bro,,Switch,2018,
mario party superstars,BOSS_IN,hammer bro,,Switch,2021,
super mario party jamboree,BOSS_IN,hammer bro,,Switch,2024,
super mario advance 4: super mario bros. 3,BOSS_IN,impostor bowser,,GBA,2003,
super mario 3d land,BOSS_IN,impostor bowser,,3DS,2011,10.81
super mario run,BOSS_IN,impostor bowser,,Mobile,2016,
super mario run,BOSS_IN,impostor bowser,,Mobile,2017,
mario & luigi: superstar saga,BOSS_IN,iggy,koopa,GBA,2003,2.17
mario kart tour,BOSS_IN,iggy,koopa,Mobile,2019,
mario & luigi: paper jam,BOSS_IN,iggy,koopa,3DS,2015,0.76
super smash bros. ultimate,BOSS_IN,iggy,koopa,Switch,2018,
new super mario bros. wii,BOSS_IN,iggy,koopa,Wii,2009,28.32
mario kart live: home circuit,BOSS_IN,iggy,koopa,Switch,2020,
mario & luigi: superstar saga + bowser's minions,BOSS_IN,iggy,koopa,3DS,2017,
new super mario bros. 2,BOSS_IN,iggy,koopa,3DS,2012,9.9
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,iggy,koopa,3DS,2018,
super mario maker 2,BOSS_IN,iggy,koopa,Switch,2019,
paper mario,BOSS_IN,jr. troopa,koopa troopa,N64,2000,1.38
paper mario: the thousand-year door,BOSS_IN,jr. troopa,koopa troopa,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,jr. troopa,koopa troopa,Switch,2024,2.25
paper mario,BOSS_IN,kammy koopa,magikoopa,N64,2000,1.38
paper mario: the thousand-year door,BOSS_IN,kammy koopa,magikoopa,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,kammy koopa,magikoopa,Switch,2024,2.25
super mario 64 ds,BOSS_IN,king boo,big boo;boo,DS,2004,
mario kart: double dash!!,BOSS_IN,king boo,big boo;boo,GC,2003,13.9
mario party 8,BOSS_IN,king boo,big boo;boo,Wii,2007,8.27
luigi's mansion,BOSS_IN,king boo,big boo;boo,GC,2001,3.6
luigi's mansion,BOSS_IN,king boo,big boo;boo,3DS,2018,3.6
mario superstar baseball,BOSS_IN,king boo,big boo;boo,GC,2005,1.46
mario & sonic at the olympic winter games,BOSS_IN,king boo,big boo;boo,Wii,2009,7.99
mario & sonic at the olympic winter games,BOSS_IN,king boo,big boo;boo,DS,2009,7.99
mario kart ds,BOSS_IN,king boo,big boo;boo,DS,2005,23.21
mario party 9,BOSS_IN,king boo,big boo;boo,Wii,2012,3.13
mario super sluggers,BOSS_IN,king boo,big boo;boo,Wii,2008,1.89
mario & sonic at the london 2012 olympic games,BOSS_IN,king boo,big boo;boo,Wii,2011,4.9
mario & sonic at the london 2012 olympic games,BOSS_IN,king boo,big boo;boo,3DS,2012,4.9
super mario bros. wonder,BOSS_IN,king boo,big boo;boo,Switch,2023,
mario kart arcade gp 2,BOSS_IN,king boo,big boo;boo,Arcade,2007,
mario party 10,BOSS_IN,king boo,big boo;boo,WiiU,2015,1.58
luigi's mansion arcade,BOSS_IN,king boo,big boo;boo,Arcade,2015,
mario & sonic at the sochi 2014 olympic winter games,BOSS_IN,king boo,big boo;boo,WiiU,2013,0.78
super mario run,BOSS_IN,king boo,big boo;boo,Mobile,2016,
super mario run,BOSS_IN,king boo,big boo;boo,Mobile,2017,
mario kart wii,BOSS_IN,king boo,big boo;boo,Wii,2008,35.52
mario party: star rush,BOSS_IN,king boo,big boo;boo,3DS,2016,0.3
luigi's mansion 3,BOSS_IN,king boo,big boo;boo,Switch,2019,
mario kart 8 deluxe,BOSS_IN,king boo,big boo;boo,Switch,2017,
mario party superstars,BOSS_IN,king boo,big boo;boo,Switch,2021,
mario kart arcade gp dx,BOSS_IN,king boo,big boo;boo,Arcade,2013,
super mario party jamboree,BOSS_IN,king boo,big boo;boo,Switch,2024,
mario kart tour,BOSS_IN,king boo,big boo;boo,Mobile,2019,
mario kart world,BOSS_IN,king boo,big boo;boo,Switch 2,2025,
mario kart ds,BOSS_IN,king bob-omb,bob-omb,DS,2005,23.21
mario party 2,BOSS_IN,king bob-omb,bob-omb,N64,1999,2.5
mario & luigi: paper jam,BOSS_IN,king bob-omb,bob-omb,3DS,2015,0.76
mario golf: toadstool tour,BOSS_IN,king bob-omb,bob-omb,GC,2003,1.53
mario kart arcade gp dx,BOSS_IN,king bob-omb,bob-omb,Arcade,2013,
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,king bob-omb,bob-omb,3DS,2018,
mario golf: world tour,BOSS_IN,king bob-omb,bob-omb,3DS,2014,0.48
mario kart tour,BOSS_IN,king bob-omb,bob-omb,Mobile,2019,
mario party advance,BOSS_IN,king bob-omb,bob-omb,GBA,2005,0.98
mario golf: super rush,BOSS_IN,king bob-omb,bob-omb,Switch,2021,
mario party 8,BOSS_IN,king bob-omb,bob-omb,Wii,2007,8.27
mario party 9,BOSS_IN,king bob-omb,bob-omb,Wii,2012,3.13
mario party: island tour,BOSS_IN,king bob-omb,bob-omb,3DS,2013,1.92
mario party: star rush,BOSS_IN,king bob-omb,bob-omb,3DS,2016,0.3
super mario party,BOSS_IN,king bob-omb,bob-omb,Switch,2018,
mario party superstars,BOSS_IN,king bob-omb,bob-omb,Switch,2021,
super mario party jamboree,BOSS_IN,king bob-omb,bob-omb,Switch,2024,
super smash bros. ultimate,BOSS_IN,king k. rool,kremling,Switch,2018,
super mario bros. 3,BOSS_IN,larry,koopa,NES,1988,22.48
super mario bros. 3,BOSS_IN,larry,koopa,Game & Watch,1990,22.48
mario & luigi: superstar saga,BOSS_IN,larry,koopa,GBA,2003,2.17
super mario world,BOSS_IN,larry,koopa,SNES,1990,26.07
super mario world,BOSS_IN,larry,koopa,Arcade,1993,26.07
mario kart tour,BOSS_IN,larry,koopa,Mobile,2019,
mario & luigi: paper jam,BOSS_IN,larry,koopa,3DS,2015,0.76
super smash bros. ultimate,BOSS_IN,larry,koopa,Switch,2018,
new super mario bros. wii,BOSS_IN,larry,koopa,Wii,2009,28.32
mario kart live: home circuit,BOSS_IN,larry,koopa,Switch,2020,
mario & luigi: superstar saga + bowser's minions,BOSS_IN,larry,koopa,3DS,2017,
new super mario bros. 2,BOSS_IN,larry,koopa,3DS,2012,9.9
mario kart world,BOSS_IN,larry,koopa,Switch 2,2025,
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,larry,koopa,3DS,2018,
super mario maker 2,BOSS_IN,larry,koopa,Switch,2019,
mario & luigi: superstar saga,BOSS_IN,lemmy,koopa,GBA,2003,2.17
mario kart tour,BOSS_IN,lemmy,koopa,Mobile,2019,
mario & luigi: paper jam,BOSS_IN,lemmy,koopa,3DS,2015,0.76
super smash bros. ultimate,BOSS_IN,lemmy,koopa,Switch,2018,
new super mario bros. wii,BOSS_IN,lemmy,koopa,Wii,2009,28.32
mario kart live: home circuit,BOSS_IN,lemmy,koopa,Switch,2020,
mario & luigi: superstar saga + bowser's minions,BOSS_IN,lemmy,koopa,3DS,2017,
new super mario bros. 2,BOSS_IN,lemmy,koopa,3DS,2012,9.9
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,lemmy,koopa,3DS,2018,
super mario maker 2,BOSS_IN,lemmy,koopa,Switch,2019,
super mario bros.,BOSS_IN,lakitu,,NES,1985,45.31
super mario bros.,BOSS_IN,lakitu,,Game & Watch,1986,45.31
super mario bros.,BOSS_IN,lakitu,,Game & Watch,1989,45.31
super mario bros.,BOSS_IN,lakitu,,Arcade,1992,45.31
mario kart 7,BOSS_IN,lakitu,,3DS,2011,12.66
mario party,BOSS_IN,lakitu,,N64,1998,2.7
paper mario,BOSS_IN,lakitu,,N64,2000,1.38
mario & sonic at the olympic games,BOSS_IN,lakitu,,Wii,2007,13.08
mario & sonic at the olympic games,BOSS_IN,lakitu,,DS,2008,13.08
super mario bros.: the lost levels,BOSS_IN,lakitu,,famicom disk system,1986,2.65
mario party 2,BOSS_IN,lakitu,,N64,1999,2.5
mario & luigi: partners in time,BOSS_IN,lakitu,,DS,2005,1.29
paper mario: the thousand-year door,BOSS_IN,lakitu,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,lakitu,,Switch,2024,2.25
mario & sonic at the olympic winter games,BOSS_IN,lakitu,,Wii,2009,7.99
mario & sonic at the olympic winter games,BOSS_IN,lakitu,,DS,2009,7.99
mario kart arcade gp dx,BOSS_IN,lakitu,,Arcade,2013,
mario party 3,BOSS_IN,lakitu,,N64,2000,1.91
super paper mario,BOSS_IN,lakitu,,Wii,2007,3.71
mario & sonic at the london 2012 olympic games,BOSS_IN,lakitu,,Wii,2011,4.9
mario & sonic at the london 2012 olympic games,BOSS_IN,lakitu,,3DS,2012,4.9
mario kart tour,BOSS_IN,lakitu,,Mobile,2019,
mario party 4,BOSS_IN,lakitu,,GC,2002,2.47
mario & luigi: dream team,BOSS_IN,lakitu,,3DS,2013,2.08
paper mario: sticker star,BOSS_IN,lakitu,,3DS,2012,2.3
mario & sonic at the sochi 2014 olympic winter games,BOSS_IN,lakitu,,WiiU,2013,0.78
mario kart world,BOSS_IN,lakitu,,Switch 2,2025,
mario party-e,BOSS_IN,lakitu,,GBA,2003,
mario & luigi: paper jam,BOSS_IN,lakitu,,3DS,2015,0.76
paper mario: color splash,BOSS_IN,lakitu,,WiiU,2016,0.42
mario & sonic at the rio 2016 olympic games,BOSS_IN,lakitu,,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,BOSS_IN,lakitu,,3DS,2016,0.8700000000000001
mario party 5,BOSS_IN,lakitu,,GC,2003,2.08
mario & luigi: brothership,BOSS_IN,lakitu,,Switch,2024,
mario & sonic at the olympic games tokyo 2020,BOSS_IN,lakitu,,Switch,2019,
new super mario bros.,BOSS_IN,lakitu,,DS,2006,29.8
mario party 6,BOSS_IN,lakitu,,GC,2004,1.65
new super mario bros. wii,BOSS_IN,lakitu,,Wii,2009,28.32
mario party advance,BOSS_IN,lakitu,,GBA,2005,0.98
super mario galaxy 2,BOSS_IN,lakitu,,Wii,2010,7.51
mario party 7,BOSS_IN,lakitu,,GC,2005,1.57
new super mario bros. 2,BOSS_IN,lakitu,,3DS,2012,9.9
mario party 8,BOSS_IN,lakitu,,Wii,2007,8.27
mario party 9,BOSS_IN,lakitu,,Wii,2012,3.13
mario party: island tour,BOSS_IN,lakitu,,3DS,2013,1.92
super mario run,BOSS_IN,lakitu,,Mobile,2016,
super mario run,BOSS_IN,lakitu,,Mobile,2017,
mario party 10,BOSS_IN,lakitu,,WiiU,2015,1.58
super mario odyssey,BOSS_IN,lakitu,,Switch,2017,
mario party: star rush,BOSS_IN,lakitu,,3DS,2016,0.3
super mario bros. wonder,BOSS_IN,lakitu,,Switch,2023,
mario party: the top 100,BOSS_IN,lakitu,,3DS,2017,
super mario party,BOSS_IN,lakitu,,Switch,2018,
mario party superstars,BOSS_IN,lakitu,,Switch,2021,
super mario party jamboree,BOSS_IN,lakitu,,Switch,2024,
super mario bros. 3,BOSS_IN,ludwig,koopa,NES,1988,22.48
super mario bros. 3,BOSS_IN,ludwig,koopa,Game & Watch,1990,22.48
mario & luigi: superstar saga,BOSS_IN,ludwig,koopa,GBA,2003,2.17
super smash bros. brawl,BOSS_IN,ludwig,koopa,Wii,2008,12.84
super mario world,BOSS_IN,ludwig,koopa,SNES,1990,26.07
super mario world,BOSS_IN,ludwig,koopa,Arcade,1993,26.07
mario kart tour,BOSS_IN,ludwig,koopa,Mobile,2019,
mario & luigi: paper jam,BOSS_IN,ludwig,koopa,3DS,2015,0.76
new super mario bros. wii,BOSS_IN,ludwig,koopa,Wii,2009,28.32
mario kart live: home circuit,BOSS_IN,ludwig,koopa,Switch,2020,
mario & luigi: superstar saga + bowser's minions,BOSS_IN,ludwig,koopa,3DS,2017,
super smash bros. ultimate,BOSS_IN,ludwig,koopa,Switch,2018,
new super mario bros. 2,BOSS_IN,ludwig,koopa,3DS,2012,9.9
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,ludwig,koopa,3DS,2018,
super mario maker 2,BOSS_IN,ludwig,koopa,Switch,2019,
super mario world,BOSS_IN,magikoopa,,SNES,1990,26.07
super mario world,BOSS_IN,magikoopa,,Arcade,1993,26.07
paper mario,BOSS_IN,magikoopa,,N64,2000,1.38
super mario world 2: yoshi's island,BOSS_IN,magikoopa,,SNES,1995,7.03
mario & luigi: partners in time,BOSS_IN,magikoopa,,DS,2005,1.29
paper mario: the thousand-year door,BOSS_IN,magikoopa,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,magikoopa,,Switch,2024,2.25
super mario advance 4: super mario bros. 3,BOSS_IN,magikoopa,,GBA,2003,
super paper mario,BOSS_IN,magikoopa,,Wii,2007,3.71
super mario galaxy,BOSS_IN,magikoopa,,Wii,2007,11.35
mario & luigi: dream team,BOSS_IN,magikoopa,,3DS,2013,2.08
paper mario: sticker star,BOSS_IN,magikoopa,,3DS,2012,2.3
super mario galaxy 2,BOSS_IN,magikoopa,,Wii,2010,7.51
mario & luigi: brothership,BOSS_IN,magikoopa,,Switch,2024,
super mario 3d land,BOSS_IN,magikoopa,,3DS,2011,10.81
new super mario bros.,BOSS_IN,mega dry bones,,DS,2006,29.8
mario party: island tour,BOSS_IN,mega dry bones,,3DS,2013,1.92
new super mario bros. wii,BOSS_IN,mega dry bones,,Wii,2009,28.32
mario party: star rush,BOSS_IN,mega dry bones,,3DS,2016,0.3
new super mario bros. 2,BOSS_IN,mega dry bones,,3DS,2012,9.9
super mario world,BOSS_IN,mechakoopa,,SNES,1990,26.07
super mario world,BOSS_IN,mechakoopa,,Arcade,1993,26.07
mario kart: super circuit,BOSS_IN,mechakoopa,,GBA,2001,5.47
mario party 5,BOSS_IN,mechakoopa,,GC,2003,2.08
mario & luigi: superstar saga,BOSS_IN,mechakoopa,,GBA,2003,2.17
super mario galaxy,BOSS_IN,mechakoopa,,Wii,2007,11.35
mario party advance,BOSS_IN,mechakoopa,,GBA,2005,0.98
mario & luigi: dream team,BOSS_IN,mechakoopa,,3DS,2013,2.08
new super mario bros. wii,BOSS_IN,mechakoopa,,Wii,2009,28.32
mario party 7,BOSS_IN,mechakoopa,,GC,2005,1.57
mario & luigi: paper jam,BOSS_IN,mechakoopa,,3DS,2015,0.76
super mario galaxy 2,BOSS_IN,mechakoopa,,Wii,2010,7.51
mario party 9,BOSS_IN,mechakoopa,,Wii,2012,3.13
mario & luigi: superstar saga + bowser's minions,BOSS_IN,mechakoopa,,3DS,2017,
