Game,Relation,Figure,Species,Console,Year,Sales
super mario 3d world + bowser's fury,BOSS_IN,bowser jr.,koopa,Switch,2021,
super mario bros. wonder,BOSS_IN,bowser jr.,koopa,Switch,2023,
super mario bros. 3,BOSS_IN,bowser statue,,NES,1988,22.48
super mario bros. 3,BOSS_IN,bowser statue,,Game & Watch,1990,22.48
mario kart 64,BOSS_IN,bowser statue,,N64,1996,9.87
mario & luigi: bowser's inside story,BOSS_IN,bowser statue,,DS,2009,3.77
super mario world,BOSS_IN,bowser statue,,SNES,1990,26.07
super mario world,BOSS_IN,bowser statue,,Arcade,1993,26.07
mario kart: double dash!!,BOSS_IN,bowser statue,,GC,2003,13.9
mario & luigi: dream team,BOSS_IN,bowser statue,,3DS,2013,2.08
new super mario bros.,BOSS_IN,bowser statue,,DS,2006,29.8
mario kart wii,BOSS_IN,bowser statue,,Wii,2008,35.52
super mario galaxy,BOSS_IN,bowser statue,,Wii,2007,11.35
super mario galaxy 2,BOSS_IN,bowser statue,,Wii,2010,7.51
new super mario bros. 2,BOSS_IN,bowser statue,,3DS,2012,9.9
super mario odyssey,BOSS_IN,bowser statue,,Switch,2017,
super mario maker 2,BOSS_IN,bowser statue,,Switch,2019,
super mario bros. wonder,BOSS_IN,bowser statue,,Switch,2023,
mario kart tour,BOSS_IN,chargin' chuck,,Mobile,2019,
super mario party,BOSS_IN,chargin' chuck,,Switch,2018,
mario & luigi: paper jam,BOSS_IN,chargin' chuck,,3DS,2015,0.76
super mario advance 4: super mario bros. 3,BOSS_IN,chargin' chuck,,GBA,2003,
mario kart world,BOSS_IN,chargin' chuck,,Switch 2,2025,
super mario party jamboree,BOSS_IN,chargin' chuck,,Switch,2024,
mario & luigi: superstar saga + bowser's minions,BOSS_IN,chargin' chuck,,3DS,2017,
mario & luigi: bowser's inside story + bowser jr.'s journey,BOSS_IN,chargin' chuck,,3DS,2018,
super mario odyssey,BOSS_IN,chargin' chuck,,Switch,2017,
mario party: island tour,BOSS_IN,cheep chomp,,3DS,2013,1.92
mario golf,BOSS_IN,cheep chomp,,GBC,1999,1.78
mario golf,BOSS_IN,cheep chomp,,N64,1999,1.78
new super mario bros.,BOSS_IN,cheep chomp,,DS,2006,29.8
mario party 10,BOSS_IN,cheep chomp,,WiiU,2015,1.58
mario golf: super rush,BOSS_IN,cheep chomp,,Switch,2021,
new super mario bros. wii,BOSS_IN,cheep chomp,,Wii,2009,28.32
super mario party,BOSS_IN,cheep chomp,,Switch,2018,
new super mario bros. 2,BOSS_IN,cheep chomp,,3DS,2012,9.9
mario party superstars,BOSS_IN,cheep chomp,,Switch,2021,
super mario maker 2,BOSS_IN,cheep chomp,,Switch,2019,
mario kart 64,BOSS_IN,chain chomp,,N64,1996,9.87
mario party 2,BOSS_IN,chain chomp,,N64,1999,2.5
paper mario,BOSS_IN,chain chomp,,N64,2000,1.38
mario kart: double dash!!,BOSS_IN,chain chomp,,GC,2003,13.9
mario party 3,BOSS_IN,chain chomp,,N64,2000,1.91
mario & luigi: partners in time,BOSS_IN,chain chomp,,DS,2005,1.29
paper mario: the thousand-year door,BOSS_IN,chain chomp,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,chain chomp,,Switch,2024,2.25
mario tennis aces,BOSS_IN,chain chomp,,Switch,2018,
super mario sunshine,BOSS_IN,chain chomp,,GC,2002,6.31
mario kart ds,BOSS_IN,chain chomp,,DS,2005,23.21
mario party 4,BOSS_IN,chain chomp,,GC,2002,2.47
super paper mario,BOSS_IN,chain chomp,,Wii,2007,3.71
new super mario bros.,BOSS_IN,chain chomp,,DS,2006,29.8
mario kart wii,BOSS_IN,chain chomp,,Wii,2008,35.52
