Character,Game,Relation,Species
Princess Peach,Super Smash Bros. Brawl,CHARACTER_IN,Human
Princess Peach,Mario Kart Wii,CHARACTER_IN,Human
Princess Peach,Mario Super Sluggers,CHARACTER_IN,Human
Princess Peach,Kirby Super Star Ultra,CHARACTER_IN,Human
Princess Peach,New Play Control! Mario Power Tennis,CHARACTER_IN,Human
Princess Peach,Mario & Luigi: Bowser's Inside Story,CHARACTER_IN,Human
Princess Peach,WarioWare: D.I.Y.,CHARACTER_IN,Human
Princess Peach,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Human
Princess Peach,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Human
Princess Peach,Mario Party Fushigi no Korokoro Catcher,CHARACTER_IN,Human
Princess Peach,New Super Mario Bros. Wii,CHARACTER_IN,Human
Princess Peach,Super Mario Galaxy 2,CHARACTER_IN,Human
Princess Peach,Mario Sports Mix,CHARACTER_IN,Human
Princess Peach,Pushmo,CHARACTER_IN,Human
Princess Peach,Super Mario 3D Land,CHARACTER_IN,Human
Princess Peach,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Human
Princess Peach,Fortune Street,CHARACTER_IN,Human
Princess Peach,Mario Kart 7,CHARACTER_IN,Human
Princess Peach,StreetPass Mii Plaza,CHARACTER_IN,Human
Princess Peach,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Human
Princess Peach,Mario Party 9,CHARACTER_IN,Human
Princess Peach,Mario Tennis Open,CHARACTER_IN,Human
Princess Peach,New Super Mario Bros. 2,CHARACTER_IN,Human
Princess Peach,Paper Mario: Sticker Star,CHARACTER_IN,Human
Princess Peach,Scribblenauts: Unlimited,CHARACTER_IN,Human
Princess Peach,New Super Mario Bros. U,CHARACTER_IN,Human
Princess Peach,Mario Party Whirling Carnival,CHARACTER_IN,Human
Princess Peach,Mario & Luigi: Dream Team,CHARACTER_IN,Human
Princess Peach,Mario Kart Arcade GP DX,CHARACTER_IN,Human
Princess Peach,Mario & Sonic at the Sochi 2014 Olympic Winter Games,CHARACTER_IN,Human
Princess Peach,Super Mario 3D World,CHARACTER_IN,Human
Princess Peach,Mario Party: Island Tour,CHARACTER_IN,Human
Princess Peach,NES Remix 2,CHARACTER_IN,Human
Princess Peach,Mario Golf: World Tour,CHARACTER_IN,Human
Princess Peach,Mario Kart 8,CHARACTER_IN,Human
Princess Peach,Pushmo World,CHARACTER_IN,Human
Princess Peach,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Human
Princess Peach,Ultimate NES Remix,CHARACTER_IN,Human
Princess Peach,Captain Toad: Treasure Tracker,CHARACTER_IN,Human
Princess Peach,Super Smash Bros. for Wii U,CHARACTER_IN,Human
Princess Peach,Nintendo Badge Arcade,CHARACTER_IN,Human
Princess Peach,Ace Combat Assault Horizon Legacy+,CHARACTER_IN,Human
Princess Peach,Mario Party 10,CHARACTER_IN,Human
